Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Nigeria,NGA,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,120,..,..,..,..
Nigeria,NGA,"Time to import, border compliance (hours)",IC.IMP.TMBC,241.7143,..,..,..,..
North Macedonia,MKD,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,76.1681750526576,70.4697585464977,81.2775466279157,94.8665302854667,86.3055563155847
North Macedonia,MKD,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,10.0826674437509,-10.8612562405666,14.796444685263,12.4002668627291,-5.83863797416221
North Macedonia,MKD,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,9320274745.13446,8307975822.74059,9537260869.81742,10719906669.0694,10094010127.4944
North Macedonia,MKD,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-282433681.456386,-352068750.73679,-297968480.501644,-817989861.27946,170895022.08444
North Macedonia,MKD,Net foreign assets (current LCU),FM.AST.NFRG.CN,192408170062.17,195185236763.622,195935131738.169,188421134860.374,229261460840.282
North Macedonia,MKD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.91041953840173,-4.68845000956652,4.51067949038222,2.22170527084103,1.0274151354263
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,6718.85826635458,6659.59651070776,7620.80296977508,7485.6034579418,8146.46797547749
North Macedonia,MKD,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,3.38,3.29,3.46,..,..
North Macedonia,MKD,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,6.69,6.54,6.84,..,..
North Macedonia,MKD,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,3,..,..,..,..
North Macedonia,MKD,"Time to import, border compliance (hours)",IC.IMP.TMBC,7.5,..,..,..,..
Northern Mariana Islands,MNP,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,62.2353937341236,62.4708624708625,..,..,..
Northern Mariana Islands,MNP,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-1.63316582914574,-23.7547892720306,..,..,..
Northern Mariana Islands,MNP,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,709279600.570613,540791726.105563,..,..,..
