Country Name,2019 [YR2019]_econ,2020 [YR2020]_econ,2021 [YR2021]_econ,2022 [YR2022]_econ,2023 [YR2023]_econ,2019 [YR2019]_gov,2020 [YR2020]_gov,2021 [YR2021]_gov,2022 [YR2022]_gov,2023 [YR2023]_gov
Iceland,0.0005533414919751168,0.00035797211386916396,0.0003297073825795221,0.0010632988501987775,0.009521631533859565,0.48954532664561606,0.49035080931332503,0.4940939664879143,0.4841644939129873,0.4841181733651036
India,0.0005654971812356246,0.0003687189058233952,0.0003448884190626449,0.0010908316982784817,0.009561711735292355,0.26539605682662026,0.26409346078973195,0.2634058434316547,0.2726593670007712,0.2755289559386613
Indonesia,0.1016097095623568,0.09296032987033737,0.09645575004265995,0.11811150121038426,0.15101331882397864,0.26008248442048465,0.2672445205682963,0.27455718970631865,0.2737316603422054,0.2820366934688271
"Iran, Islamic Rep.",0.0005242664363130505,0.0003352340228176884,0.0003093551982124853,0.0010483308546029013,0.009501232582357596,0.11473370326653153,0.09705886087810014,0.09647154621859283,0.09438050029522979,0.09044616357622881
Iraq,0.016572158139362744,0.013646514362252102,0.01540273148170414,0.027403629317346214,0.0394776531365915,0.08159574885266029,0.07724844781781247,0.08470338474983044,0.084088677366134,0.08109450321883681
Ireland,0.0005608928549776238,0.0003687857060263171,0.0003473647004184858,0.0010959344586652698,0.009556948783013159,0.46931147676611024,0.4751788123770539,0.47874982505658964,0.4837722428932135,0.48746884143566344
Israel,0.0005613273271759575,0.000372490217211968,0.00035045782753634135,0.00109830512056578,0.009568156224124538,0.37759342277378627,0.36364955705785706,0.37006040539445706,0.3679145107890306,0.3610936281969274
Italy,0.0005518621228941823,0.0003552501388090201,0.00033079392093017095,0.0010669297713937092,0.009535277779712135,0.3702747359961879,0.3639744240416857,0.3712245619643987,0.3714375187696865,0.3853680282004121
Jamaica,0.0005628688176126366,0.00036727284424762464,0.0003524178629748954,0.0011023161643211937,0.009584469220208884,0.3197932800858463,0.3121574307838038,0.31423148546580043,0.32559725531992173,0.3142084215260406
Japan,0.009902610489744347,0.009133821820873068,0.009195584797330859,0.01100291683463586,0.02218139641130783,0.4645096492704553,0.46640067236314675,0.4687580302057133,0.4724625436007199,0.4732469549307049
Jordan,0.0005210553370069705,0.00033375677424602547,0.00030733602795884754,0.0010456733854524042,0.009498185400203116,0.27504494024354664,0.27883868433592596,0.27645326698635103,0.2785531330738891,0.2878228413422083
Kazakhstan,0.00208888932924558,0.0019102900485739494,0.0018999421442795197,0.0029570803620991466,0.011650647106906315,0.24046883096937074,0.2341364945112736,0.23744582324748395,0.2345606292105798,0.24077285638331608
Kenya,0.000583947366284226,0.0003806627521795047,0.0003440730641106706,0.0010665272111926869,0.009565165594204469,0.1943797935970307,0.18484681448174364,0.19872229504905586,0.20732956288335525,0.20806655980121314
Kiribati,0.0005198138079085435,0.000332710571788655,0.0003062806611481867,0.0010444995421809483,0.009496690553059815,0.35132726126800456,0.3626866746340308,0.3582574465878732,0.3548493748132773,0.3501381992716074
"Korea, Rep.",0.030173450312175207,0.024788752578582797,0.02517924350439751,0.031001614354515827,0.04768973411039923,0.42059984454042504,0.4223439413335391,0.428544076581468,0.4263439281598048,0.4331653687032886
Kosovo,0.0005201764164358445,0.00033297982444042637,0.00030662589416619994,0.0010449112274855568,0.009497237877784847,0.21601791132552844,0.22279245059829433,0.24340651761211435,0.24043232257555605,0.24503153465093983
Kuwait,0.0005254669282339765,0.0003368907793773943,0.00031150999669365915,0.001054095151634618,0.009506405661563274,0.27709241072644736,0.28051651342168316,0.2808931377280513,0.29540169178779985,0.30423115391757255
Kyrgyz Republic,0.0005456466792833868,0.0003635033061727699,0.0003394430580562039,0.0010865208401255968,0.009554373053847506,0.17779646329201912,0.16896433078468268,0.15518209783431583,0.14578005612749656,0.1489638454164224
Lao PDR,0.0005197963756431476,0.0003326991832696979,0.000306267930100816,0.0010444789007299634,0.009496665839200053,0.1556785073487545,0.1627533551744318,0.17466521229754223,0.17351205202813622,0.17548367750927416
Latvia,0.0005216114521691573,0.0003343363374206108,0.0003079233423267569,0.0010464824788067202,0.009499015943217769,0.4063854143418503,0.40644991774845984,0.4189637144402047,0.4071011150676501,0.4167430518627983
Lebanon,0.0005170112367059221,0.00032899987583702764,0.0003038688948251813,0.0010420423331309204,0.009494951681040729,0.14153894422100483,0.12429104126948931,0.11439484177127274,0.10743196030817374,0.10819484658496979
Lesotho,0.0005214740044249585,0.00033436558034576427,0.00030791256031104087,0.001046173347285536,0.009499485958560532,0.21138040457504792,0.21046412953211865,0.20772722502008195,0.20840831218347874,0.2052931351827485
Liberia,0.0005197963751874777,0.0003326991828960182,0.00030626792975560203,0.0010444789004498698,0.009496665838879098,0.1526043594449087,0.15390665395046302,0.16058896254734398,0.16083219771986906,0.17085959101419876
Libya,0.0005308645948024216,0.00034001633851966245,0.0003288098839750483,0.0010734714103334637,0.009531719744214026,0.053334773181218605,0.052933672274601835,0.0555491536537744,0.0558938335927079,0.059316410809139165
Lithuania,0.0005232152562519639,0.0003359067732808118,0.00030994300477021365,0.001048862665787206,0.009502522679609113,0.42455928229535256,0.43096390180782745,0.43644403200622855,0.4294106387704979,0.4385714674236575
Luxembourg,0.0005519793395524815,0.00035946055180580616,0.00033579017056301465,0.0010764249845750067,0.009533182111977359,0.5008546933237424,0.5020408397679603,0.5026454751209416,0.5010899144171528,0.5044718155895207
"Macao SAR, China",0.0005779335406438253,0.0003761810447996076,0.0003445470168642063,0.0010889443834269123,0.009550040448219102,0.3969366114588463,0.3968382526725278,0.38933610855099837,0.39470818830529486,0.393067526092918
Madagascar,0.0008835683535130271,0.000643830331516458,0.0006138649094417053,0.0014080241381556377,0.010199255286285621,0.156238540604633,0.15557545461952654,0.15779140981351727,0.15821670269710456,0.152940600595279
Malawi,0.0005453593898631469,0.0002859947124107487,0.0002321405793199669,0.0009155710797207289,0.009203295183523667,0.19740387569786394,0.2169732267311804,0.22510422517470532,0.2134413473258374,0.21275821446577886
Malaysia,0.0005534116143704411,0.00036063321818302006,0.00033769290085867824,0.0010801471707960713,0.009535856367929628,0.34483287730690987,0.34394890452775195,0.33948478516126834,0.34992531526083,0.35130366667278695
Maldives,0.0005212111147015739,0.0003332234657027245,0.0003075121098707101,0.00104570877764357,0.009497630152089861,0.2242603377652583,0.24343700224560783,0.26973242574221434,0.25937796862750234,0.25121360169571766
Mali,0.0005376633817811277,0.0003501062216361374,0.0003664723533467643,0.0010816717221136909,0.009493421839312496,0.1445835517714784,0.13129068059372895,0.13054824082219169,0.1284157602641639,0.12534626623322329
Malta,0.0005224332863413218,0.00033487323343874204,0.0003085186375394326,0.0010472571376415412,0.009500059544378573,0.4101549758311388,0.42239906786971004,0.4058292295648443,0.40080036583458667,0.3816976546355531
Marshall Islands,0.0005197963762520752,0.00033269918382833596,0.0003062679307689242,0.0010444789016293738,0.00949666584037988,0.3337245084582131,0.34499471012182237,0.34295037289182934,0.35526406303968494,0.3550740427991388
Mauritania,0.0005202414884875789,0.000333059653338937,0.00030661011010035946,0.0010449387512366094,0.009497188844949806,0.16248472949639076,0.15257140314563708,0.15522850778027444,0.15972075778297912,0.16288473900322045
Mauritius,0.0005636592275222066,0.000373712478305064,0.0003539769376447724,0.0010979446018341856,0.009558886675004012,0.3974478682159702,0.4079194598425618,0.4027534865408803,0.3988813275027129,0.3990499331278413
Mexico,0.0007759862747759292,0.0005750138291133909,0.0005602977311168653,0.0013191307102600467,0.009804633865038642,0.21192156874110316,0.21047178700666858,0.19796489572291043,0.19647361075932274,0.20308841193402238
"Micronesia, Fed. Sts.",0.0005197963755969146,0.00033269918320576387,0.00030626793006492095,0.001044478900836986,0.009496665839358119,0.33430245966806854,0.3470561536595396,0.3553695814809407,0.3617595184996578,0.3599102263096629
Moldova,0.0005250829069736928,0.0003376152356259966,0.0003114435092112641,0.0010507019768206092,0.009504903007274992,0.22481988317839474,0.2233393819041903,0.24185667769972732,0.24284601137015563,0.2554755178305957
Mongolia,0.0007219887651179531,0.0006330818623351815,0.0004947683849113544,0.0011805672311435743,0.01012704169031363,0.2903371960942188,0.28034216117193494,0.271208128279746,0.2661246242576691,0.27195177426956474
Montenegro,0.0005200186131724678,0.00033284543953655837,0.0003064780840305365,0.001044787683671841,0.009497049552463869,0.29759816411019685,0.28689825268861346,0.2915639138937117,0.2889563472677142,0.30825507888474285
Morocco,0.0005408281757864228,0.00035246590675005443,0.00032570128099179897,0.0010673228133146649,0.00952635659467987,0.23634785148262094,0.2382756938419085,0.2356479735807537,0.23979499123757952,0.24180328965846543
Mozambique,0.0005483991259690014,0.0003620090046305851,0.00032848104556511346,0.0010657543693815999,0.009522826490884373,0.14460483646377256,0.14100791288120457,0.1443670061672653,0.1482223516712794,0.15181118958270046
Myanmar,0.0005197963753655649,0.0003326991830567611,0.0003062679298559618,0.0010444789005348422,0.009496665838975857,0.13262664481234843,0.1342291949363254,0.08130491198645562,0.07007637380255732,0.06628608205362016
Namibia,0.0005227858871034277,0.00033527825225643443,0.0003090035239449464,0.0010480911751002376,0.009502070786527051,0.3368360464517827,0.32987109745272036,0.32967666114366767,0.3320820617824372,0.3283115737645139
Nauru,0.0005197963774561764,0.0003326991846966371,0.00030626793223683096,0.0010444789029071336,0.00949666584171286,0.31320440495949686,0.3207721768635158,0.32003181246178364,0.3332943367635297,0.33089648743973804
Nepal,0.0005911568601625203,0.000410099466303728,0.0003675147652014726,0.0011180071152509827,0.009615048809223436,0.1793985862597965,0.1952302688424915,0.2023608947519497,0.20253133189757105,0.20679526042307758
Netherlands,0.0005852405833757276,0.0003844476934334494,0.0003612965895962307,0.001117928085500099,0.009577579768397236,0.493374381333653,0.49242814059398254,0.49400732452610635,0.4849271453989948,0.48534238522461015
New Zealand,0.0005086035762040573,0.0003227215940517059,0.00029535838653260525,0.0010315243827315858,0.009483759856789975,0.5121611698308871,0.5097688833945055,0.5047071175826623,0.5038415825980449,0.5086952680476079
Nicaragua,0.0005225037749230346,0.0003365373410876061,0.0003111925722081244,0.0010514869531173215,0.009507548942969882,0.13037147986700193,0.13859666019918465,0.12615909094926397,0.1195395756775121,0.1251470798977088
Niger,0.0005702571151070223,0.000368629487036056,0.00034972127318213625,0.0010952572196921725,0.009531489554108607,0.1642578126262628,0.16165240524155897,0.17552669926446288,0.17471725770399316,0.1614183968879079
Nigeria,0.0005164408201030085,0.00033282236982792743,0.0003054808436352141,0.0010435444068577994,0.009493507003983666,0.12276435505730303,0.12254309421889407,0.1279478274997628,0.12174427524516196,0.13812735708327864
North Macedonia,0.0005333113604709406,0.0003436943287104231,0.00031716718113646307,0.0010567081983703839,0.009513894142139065,0.2708304677172839,0.2802357700595925,0.2810526426201108,0.28854282144057364,0.2867356778176103
Norway,0.00045454236003797,0.0002918061444896707,0.0002808144464310386,0.0010109442351529632,0.009455187314546473,0.5052028935862051,0.5052786761421377,0.5017077235483588,0.4928876313096451,0.496061675014885
Oman,0.0005206156047811583,0.0003331808878998251,0.0003068746752250204,0.0010451621295942746,0.00949774659197682,0.3135300025505358,0.2998601920997337,0.28232042726189327,0.29529169048247383,0.3140916312668497
Pakistan,0.0005070948661765632,0.00035540187116781213,0.00033426752992938403,0.0009010418865028557,0.009326013224299276,0.14400297738799595,0.14859185335586725,0.15750354470960193,0.14595094741905282,0.13730906598137266
Palau,0.0005197963787256764,0.00033269918552992855,0.0003062679319973749,0.00104447890318267,0.009496665842343474,0.3838425119657853,0.388656899114842,0.3865447409834329,0.3893818070793642,0.39038487494367435
Panama,0.0005194595158171258,0.00033271034765518747,0.00030618157596292464,0.0010435293801447391,0.009496289563807651,0.3011380660133319,0.29350418320054666,0.29071723511977426,0.2752162168788291,0.27195227286480217
